# Delegation protocol history audit ledger

This ledger records the pre-rewrite disposition of every commit reachable from
origin/main and origin/ci-agents. Each new_hash is the topology-preserving
commit at the rewritten CI tip d70aa61720c12d38773beaf93b846e50cb23d973.
The rewritten main tip is 434e1cb67e503ee48f18047eab7c8405c421901a.
Mapping was verified by matching all 133 reverse-topological positions,
author identity/date, subject, tree, and parent count; no position mismatched.

Rewrite verification: rewritten refs contain 133 commits and audit cleanly with
zero author, signoff, identity, trailer, body, or line-wrapping findings.
The 99-commit main projection is 434e1cb67e503ee48f18047eab7c8405c421901a;
the 133-commit CI projection is d70aa61720c12d38773beaf93b846e50cb23d973.

Known pre-rewrite counts: 133 commits; 57 stale assistant identities;
12 long-body commits; 4 split trailer blocks; 1 missing explanatory body.

fed63f53e40cb73455422a5a33e8e8ab945a783f	1756b28b5280511d3fb2daa8137ba25ea079807f	Initialize agent delegation protocol	assistant-identity
48361d93bf69554219047e51f34b4d63f6da33c4	6db01795c5bff5aee4aa26703fcf0a3a72e53957	Add repository ignore rules	assistant-identity
a4bb9491ae85bbba695635aaf85343d932b5f249	4112d65e768047dd824c1d487a1773673b78d271	Add mandatory Codex delegation protocol	assistant-identity
fe1776f18574d013a81fcec45b5316e28aa75d11	0e8b945c33c08a5e26a3a8d731f01c58c405e4a5	Add Codex installation guide	assistant-identity
1036b159583a3f66dd663860e0545c1161ecee89	9cada70f5068d68cfc8c680b0b1bb15010719f71	Add Claude installation guide	assistant-identity
63b2a2934159424fa006081e7ddb67d39831e648	4ed2b05b2c3b089f44d1f55bd50289467076b54c	Add mandatory Claude delegation protocol	assistant-identity
0e2980873cf98e914860adf216f414aca0c6a558	fdceb4a7c9db65c31d485cee9e88b8038857f9fe	Add Claude bulk worker agent	assistant-identity
54b7c0aad7f7245096a7f25b887bf93d09143726	7de0f59d757491871360f2ee76719d8499c78877	Add POSIX installer	assistant-identity
e3d2f3f11783fe620ee030cfb07d11f27507093e	c230041654ea43ee680bd402a01a6ebf55e41556	Add POSIX uninstaller	assistant-identity
6773f271b4ba005c17d052972d41e090fba44793	cfccee2201eb3f36257ff505045b6cc82d2dbee6	Add PowerShell installer	assistant-identity
ab3c0806f276b5c297fd9876a41fde460491712f	12f72b475be26f7c471d64a8f8e134bce03e535c	Add PowerShell uninstaller	assistant-identity
5e23b73ec55ac70f7bdd563bb63a837631ebb469	683375c8969e661fd02792628bd63730c36aaa7d	Use concrete repository clone path	assistant-identity
1c6a2ad695c75785dc09f434dec45762413ff0a3	5b753af4cd003a513f56ec0271ba24caed145424	Require multi-agent fan-out for independent bulk work	assistant-identity
60cd684551db61ff6109986f537a6c2b0365fcea	26713597c4b2bd8592d4b333269939cfa1afec76	Require Claude multi-agent fan-out for independent subsystems	assistant-identity
8de1b2d4db4a7ac33cef6a034c9efcc6b4cae8de	8de1b4591a7dbb5b7da48e14e50a1658feb31c9a	Clarify bulk-worker may run in parallel instances	assistant-identity
3204ba0d2ce3e8a9df032d943ea44faef2874e13	b4834cc0ee78d5f9e0b60611a3fd8011b07c26fe	Document mandatory multi-agent fan-out	assistant-identity
d5da78f43514a2ede9cf959a20b6a3ed48d551a3	08db2cbdfaa218b5f2d162eb34eb38709391d327	Add Claude delegation enforcement hook	assistant-identity
afd4c8d3682d31ef543c2bbe475457f205b9dd8a	59ed88c5f51d5a155f8829a8974524ddb0ed207b	Strengthen Claude hook with concurrent subagent enforcement	assistant-identity
fb903aca85f6852953ed560fb81b0ea0534c60b6	4675b8b9592f03212923c685725211c3823347f1	Add non-destructive Claude settings manager	assistant-identity
